iter	Passed	Remaining
0	141	141163
1	141	70844
2	142	47388
3	143	35642
4	143	28595
5	144	23894
6	144	20538
7	145	18019
8	145	16060
9	146	14497
10	146	13216
11	147	12147
12	148	11243
13	148	10469
14	149	9796
15	149	9207
16	150	8689
17	150	8226
18	151	7811
19	151	7436
20	152	7097
21	152	6788
22	153	6506
23	153	6247
24	154	6010
25	154	5790
26	155	5587
27	155	5398
28	155	5222
29	156	5059
30	156	4905
31	157	4762
32	157	4626
33	158	4499
34	158	4379
35	159	4266
36	159	4160
37	160	4059
38	160	3963
39	161	3872
40	161	3785
41	162	3703
42	162	3625
43	163	3549
44	163	3477
45	164	3409
46	164	3343
47	165	3279
48	165	3219
49	166	3160
50	166	3104
51	167	3050
52	167	2998
53	168	2949
54	168	2900
55	169	2854
56	169	2809
57	170	2766
58	170	2724
59	171	2684
60	171	2644
61	172	2607
62	172	2570
63	173	2535
64	173	2501
65	174	2468
66	174	2436
67	175	2401
68	175	2370
69	176	2340
70	176	2311
71	177	2283
72	177	2255
73	178	2228
74	178	2202
75	179	2177
76	179	2152
77	180	2128
78	180	2105
79	181	2082
80	181	2059
81	181	2037
82	182	2015
83	182	1994
84	183	1972
85	183	1952
86	184	1931
87	184	1912
88	185	1894
89	185	1875
90	186	1858
91	186	1840
92	186	1823
93	187	1806
94	187	1790
95	188	1774
96	188	1758
97	189	1742
98	189	1727
99	190	1712
100	190	1698
101	191	1682
102	191	1667
103	191	1654
104	192	1640
105	192	1627
106	193	1614
107	193	1601
108	194	1588
109	194	1576
110	195	1564
111	195	1552
112	196	1540
113	196	1528
114	197	1517
115	197	1505
116	198	1494
117	198	1483
118	198	1472
119	199	1462
120	199	1451
121	200	1441
122	200	1430
123	201	1420
124	201	1410
125	202	1401
126	202	1392
127	202	1381
128	203	1372
129	203	1363
130	204	1355
131	204	1346
132	205	1337
133	205	1329
134	206	1321
135	206	1312
136	207	1304
137	207	1296
138	207	1288
139	208	1280
140	208	1272
141	209	1265
142	209	1257
143	210	1250
144	210	1243
145	211	1236
146	211	1229
147	212	1222
148	212	1215
149	213	1208
150	213	1202
151	214	1195
152	214	1188
153	215	1182
154	215	1175
155	216	1169
156	216	1163
157	217	1157
158	217	1151
159	218	1145
160	218	1139
161	219	1133
162	219	1127
163	220	1122
164	220	1116
165	221	1110
166	221	1105
167	222	1099
168	222	1094
169	223	1089
170	223	1084
171	224	1078
172	224	1073
173	225	1068
174	225	1063
175	226	1058
176	226	1053
177	227	1048
178	227	1043
179	228	1038
180	228	1032
181	228	1028
182	229	1023
183	229	1018
184	230	1014
185	230	1009
186	231	1005
187	231	1001
188	232	996
189	232	992
190	233	988
191	233	983
192	234	979
193	234	975
194	235	971
195	235	967
196	236	963
197	236	959
198	237	955
199	237	951
200	238	947
201	238	943
202	239	939
203	239	935
204	240	932
205	240	928
206	241	924
207	241	920
208	242	917
209	242	913
210	243	909
211	243	906
212	244	902
213	244	899
214	245	896
215	245	892
216	246	889
217	246	885
218	247	882
219	247	878
220	248	875
221	248	872
222	249	868
223	249	865
224	250	862
225	250	859
226	251	856
227	251	853
228	252	850
229	253	847
230	253	844
231	254	841
232	254	838
233	255	835
234	255	832
235	256	829
236	256	826
237	257	823
238	257	820
239	258	817
240	258	814
241	259	811
242	259	808
243	260	805
244	260	803
245	261	800
246	261	797
247	262	794
248	262	792
249	263	789
250	263	786
251	264	784
252	264	781
253	265	778
254	265	776
255	266	773
256	266	771
257	267	768
258	267	766
259	268	763
260	268	760
261	269	758
262	269	755
263	270	753
264	270	750
265	271	748
266	271	745
267	272	743
268	272	740
269	273	738
270	273	736
271	274	733
272	274	731
273	275	729
274	275	726
275	276	724
276	276	722
277	277	720
278	277	717
279	278	715
280	278	713
281	279	710
282	279	708
283	280	706
284	280	704
285	281	702
286	281	699
287	282	697
288	282	695
289	283	693
290	283	691
291	284	689
292	284	687
293	285	684
294	285	682
295	286	680
296	286	678
297	287	676
298	287	674
299	288	672
300	288	670
301	289	668
302	289	666
303	290	664
304	290	662
305	291	660
306	291	658
307	292	656
308	292	654
309	293	652
310	293	650
311	294	648
312	294	647
313	295	645
314	295	643
315	296	641
316	296	639
317	297	637
318	297	635
319	298	633
320	298	632
321	299	630
322	299	628
323	300	626
324	300	624
325	301	622
326	301	621
327	302	619
328	303	618
329	303	616
330	304	614
331	304	613
332	305	611
333	305	609
334	306	607
335	306	606
336	307	604
337	307	602
338	308	601
339	308	599
340	309	597
341	309	595
342	310	594
343	310	592
344	311	590
345	311	588
346	312	587
347	312	585
348	313	583
349	313	582
350	313	580
351	314	578
352	314	577
353	315	575
354	315	573
355	316	572
356	316	570
357	317	569
358	317	567
359	318	565
360	318	564
361	319	562
362	319	561
363	320	559
364	320	558
365	321	556
366	321	554
367	322	553
368	322	551
369	323	550
370	323	548
371	324	547
372	324	545
373	325	544
374	325	542
375	326	541
376	326	539
377	327	538
378	327	536
379	327	535
380	328	533
